idno,parentID,objID,run,rowc,camcol,htmid,parent_ra,ra,parent_dec,dec,separation,mjd_g,psfMag_g,psfMagErr_g,mjd_r,psfMag_r,psfMagErr_r,flags,calMag_g,calMagErr_g,calMag_r,calMagErr_r,Flux_g,FluxErr_g,Flux_r,FluxErr_r,calFlux_g,calFluxErr_g,calFlux_r,calFluxErr_r,ZSPEC
1,8647474690342453601,8658170821040406685,125,429.7083,1,8832392720826,18.1925119415,18.1925119415,-1.21878590303,-1.21878590303,0.0988884992449,51081.3357415,20.87134,0.04917444,51081.3324262,19.46175,0.0196989,STATIONARY BINNED1,20.87134,0.04917444,19.46175,0.0196989,1.62672855935e-05,7.37361467392e-07,5.96077934026e-05,1.08160106693e-06,1.62672855935e-05,7.37361467392e-07,5.96077934026e-05,1.08160106693e-06,3.595
1,8647474690342453601,8658177821856891023,1755,210.2828,1,8832392720826,18.1925169853,18.1925169853,-1.21876377888,-1.21876377888,0.0634475839952,51819.406953,20.86295,0.04713337,51819.4036356,19.5822,0.01872434,STATIONARY BINNED1 MANYPETRO,20.86295,0.04713337,19.5822,0.01872434,1.63935790094e-05,7.12234200178e-07,5.33478941415e-05,9.20147422073e-07,1.63935790094e-05,7.12234200178e-07,5.33478941415e-05,9.20147422073e-07,3.595
1,8647474690342453601,8658466190255128745,3360,163.3025,1,8832392720829,18.1924879039,18.1924879039,-1.21875755534,-1.21875755534,0.0440358563854,52552.3638338,20.80773,0.039716,52552.360517,19.46251,0.02405769,STATIONARY BINNED1 INTERP NOPETRO,20.80773,0.039716,19.46251,0.02405769,1.7249577488e-05,6.31438651187e-07,5.95660789308e-05,1.3200035171e-06,1.7249577488e-05,6.31438651187e-07,5.95660789308e-05,1.3200035171e-06,3.595
1,8647474690342453601,8658184835534749853,3388,647.5432,1,8832392720831,18.1924879323,18.1924879323,-1.21876991056,-1.21876991056,0.0517392295588,52558.3721268,20.7575,0.04232518,52558.3688096,19.42332,0.02691921,BINNED1 INTERP COSMIC_RAY NOPETRO,20.7575,0.04232518,19.42332,0.02691921,1.80669245926e-05,7.04762379589e-07,6.17556405904e-05,1.53129144507e-06,1.80669245926e-05,7.04762379589e-07,6.17556405904e-05,1.53129144507e-06,3.595
1,8647474690342453601,8658185033105408170,3434,1117.269,1,8832392720826,18.1925090239,18.1925090239,-1.21877180498,-1.21877180498,0.0507244914877,52577.259488,20.72821,0.03782771,52577.2561704,19.3996,0.01798226,STATIONARY BINNED1 INTERP NOPETRO,20.72821,0.03782771,19.3996,0.01798226,1.85612701804e-05,6.47086731433e-07,6.31197914472e-05,1.04550687821e-06,1.85612701804e-05,6.47086731433e-07,6.31197914472e-05,1.04550687821e-06,3.595
1,8647474690342453601,8658185166241530039,3465,409.2719,1,8832392720829,18.1924990665,18.1924990665,-1.21875828775,-1.21875828775,0.0113303652209,52586.2631823,21.04478,0.04528813,52586.2598656,19.41666,0.02599336,STATIONARY BINNED1 INTERP NOPETRO,21.04478,0.04528813,19.41666,0.02599336,1.38635080732e-05,5.78915653729e-07,6.21356569766e-05,1.48772172114e-06,1.38635080732e-05,5.78915653729e-07,6.21356569766e-05,1.48772172114e-06,3.595
1,8647474690342453601,8658188288690815112,4192,1154.093,1,8832392720828,18.1925021502,18.1925021502,-1.21876445719,-1.21876445719,0.0145148698288,52931.2736373,20.48589,0.03350544,52931.2703201,19.19375,0.01768756,STATIONARY BINNED1 INTERP,20.48589,0.03350544,19.19375,0.01768756,2.32051374235e-05,7.16386415003e-07,7.62978123743e-05,1.24303688999e-06,2.32051374235e-05,7.16386415003e-07,7.62978123743e-05,1.24303688999e-06,3.595
1,8647474690342453601,8658188335938666648,4203,1206.383,1,8832392720829,18.1924929089,18.1924929089,-1.2187534261,-1.2187534261,0.0372879893683,52935.2705852,20.48114,0.03322893,52935.2672676,19.18365,0.01738071,STATIONARY BINNED1 NOPETRO,20.48114,0.03322893,19.18365,0.01738071,2.33069205052e-05,7.13588139491e-07,7.70109262713e-05,1.2328872001e-06,2.33069205052e-05,7.13588139491e-07,7.70109262713e-05,1.2328872001e-06,3.595
1,8647474690342453601,8658188593617764517,4263,773.5544,1,8832392720829,18.1924776644,18.1924776644,-1.21873276405,-1.21873276405,0.129676397505,52963.1937906,20.48783,0.03149435,52963.1904735,19.20776,0.02051698,STATIONARY BINNED1 NOPETRO,20.48783,0.03149435,19.20776,0.02051698,2.31636949224e-05,6.72185242914e-07,7.53195498343e-05,1.42339651042e-06,2.31636949224e-05,6.72185242914e-07,7.53195498343e-05,1.42339651042e-06,3.595
1,8647474690342453601,8658191982346502297,5052,892.1356,1,8832392720829,18.1924865896,18.1924865896,-1.21875639228,-1.21875639228,0.0499051304042,53352.1648207,20.49681,0.03463458,53352.161504,19.21422,0.02940924,INTERP_CENTER STATIONARY BINNED1 INTERP NOPETRO,20.49681,0.03463458,19.21422,0.02940924,2.2972824508e-05,7.33121051822e-07,7.48727081224e-05,2.02820774672e-06,2.2972824508e-05,7.33121051822e-07,7.48727081224e-05,2.02820774672e-06,3.595
1,8647474690342453601,8658194258696667290,5582,865.697,1,8832392720829,18.1924923751,18.1924923751,-1.2187512603,-1.2187512603,0.0446549229769,53622.3731244,20.76951,0.04629598,53622.3698074,19.41448,0.02475874,STATIONARY BINNED1 INTERP NOPETRO,20.76951,0.04629598,19.41448,0.02475874,1.78680456969e-05,7.62406089723e-07,6.22605539188e-05,1.41990646243e-06,1.78680456969e-05,7.62406089723e-07,6.22605539188e-05,1.41990646243e-06,3.595
1,8647474690342453601,8658194417614323890,5619,805.4369,1,8832392720831,18.1924847956,18.1924847956,-1.21877205889,-1.21877205889,0.0654180067278,53634.3226135,20.74421,0.1216489,53634.3192964,19.29778,0.02826837,STATIONARY BINNED1 INTERP,20.74421,0.1216489,19.29778,0.02826837,1.82895772408e-05,2.0505230373e-06,6.93261518936e-05,1.80512736464e-06,1.82895772408e-05,2.0505230373e-06,6.93261518936e-05,1.80512736464e-06,3.595
1,8647474690342453601,8658194494904991934,5637,640.5195,1,8832392720829,18.1924844243,18.1924844243,-1.21875698367,-1.21875698367,0.0566062961273,53638.3639994,20.72549,0.04186627,53638.3606824,19.36469,0.01702285,STATIONARY BINNED1 NOPETRO,20.72549,0.04186627,19.36469,0.01702285,1.86078572212e-05,7.17966269806e-07,6.51824746092e-05,1.02206285548e-06,1.86078572212e-05,7.17966269806e-07,6.51824746092e-05,1.02206285548e-06,3.595
1,8647474690342453601,8658194533578965141,5646,822.3699,1,8832392720829,18.1924752878,18.1924752878,-1.21875517847,-1.21875517847,0.0900415653395,53640.3279795,20.74557,0.04038404,53640.3246623,19.40957,0.02299474,STATIONARY BINNED1 INTERP,20.74557,0.04038404,19.40957,0.02299474,1.82666673205e-05,6.79864833418e-07,6.25427785817e-05,1.32471821681e-06,1.82666673205e-05,6.79864833418e-07,6.25427785817e-05,1.32471821681e-06,3.595
1,8647474690342453601,8658194821343019157,5713,65.3952,1,8832392720829,18.1924848764,18.1924848764,-1.21875534452,-1.21875534452,0.0570323998245,53655.3003823,20.64208,0.04324579,53655.2970652,19.29802,0.02020861,STATIONARY BINNED1 INTERP NOPETRO,20.64208,0.04324579,19.29802,0.02020861,2.00946032567e-05,8.00808264639e-07,6.93108279576e-05,1.29017176438e-06,2.00946032567e-05,8.00808264639e-07,6.93108279576e-05,1.29017176438e-06,3.595
1,8647474690342453601,8658194997431959687,5754,630.7931,1,8832392720827,18.1925088662,18.1925088662,-1.21875625456,-1.21875625456,0.0384122870073,53664.325167,21.04353,0.1250375,53664.3218499,19.71265,0.03861983,STATIONARY BINNED1 MANYPETRO,21.04353,0.1250375,19.71265,0.03861983,1.38794959452e-05,1.60018661051e-06,4.73074361445e-05,1.68301939441e-06,1.38794959452e-05,1.60018661051e-06,4.73074361445e-05,1.68301939441e-06,3.595
1,8647474690342453601,8658195091922223238,5776,1130.832,1,8832392720825,18.1925116111,18.1925116111,-1.21874863419,-1.21874863419,0.0633035084094,53669.2842576,20.76039,0.03750601,53669.2809406,19.40594,0.02123688,MAYBE_CR STATIONARY BINNED1 INTERP NOPETRO,20.76039,0.03750601,19.40594,0.02123688,1.80188667524e-05,6.22858681769e-07,6.27522514416e-05,1.22754544108e-06,1.80188667524e-05,6.22858681769e-07,6.27522514416e-05,1.22754544108e-06,3.595
1,8647474690342453601,8658195134861672594,5786,1347.625,1,8832392720825,18.1925076907,18.1925076907,-1.21874154213,-1.21874154213,0.0773119889427,53671.3689563,20.6773,0.05140306,53671.3656392,19.33775,0.02384413,STATIONARY BINNED1 INTERP NOPETRO,20.6773,0.05140306,19.33775,0.02384413,1.94528724498e-05,9.21495836291e-07,6.6820201913e-05,1.46758030345e-06,1.94528724498e-05,9.21495836291e-07,6.6820201913e-05,1.46758030345e-06,3.595
1,8647474690342453601,8658476657092853920,5797,408.5204,1,8832392720825,18.1925174205,18.1925174205,-1.2187363016,-1.2187363016,0.110983449725,53674.2687144,20.85898,0.05023576,53674.2653972,19.35849,0.01935112,STATIONARY BINNED1 INTERP NOPETRO,20.85898,0.05023576,19.35849,0.01935112,1.645367956e-05,7.61893120744e-07,6.55557913812e-05,1.16850673145e-06,1.645367956e-05,7.61893120744e-07,6.55557913812e-05,1.16850673145e-06,3.595
1,8647474690342453601,8658195225061228740,5807,552.3812,1,8832392720829,18.1924932896,18.1924932896,-1.21872964252,-1.21872964252,0.116512958383,53676.358142,20.70006,0.04559096,53676.354825,19.36325,0.01820463,STATIONARY BINNED1,20.70006,0.04559096,19.36325,0.01820463,1.90491013713e-05,8.00358173587e-07,6.52689904895e-05,1.09446817584e-06,1.90491013713e-05,8.00358173587e-07,6.52689904895e-05,1.09446817584e-06,3.595
1,8647474690342453601,8658195280894427258,5820,768.3653,1,8832392720829,18.1924982598,18.1924982598,-1.21875547376,-1.21875547376,0.0218187189027,53679.329971,20.66895,0.04733954,53679.3266538,19.30906,0.02097485,STATIONARY BINNED1 INTERP NOPETRO,20.66895,0.04733954,19.30906,0.02097485,1.96031385487e-05,8.55197787303e-07,6.86095758006e-05,1.32554448351e-06,1.96031385487e-05,8.55197787303e-07,6.86095758006e-05,1.32554448351e-06,3.595
1,8647474690342453601,8658195349620523213,5836,900.6396,1,8832392720829,18.1924657996,18.1924657996,-1.21874409127,-1.21874409127,0.136424917865,53681.3214434,20.80175,0.03596978,53681.3181262,19.59944,0.02545721,STATIONARY BINNED1 INTERP NOPETRO,20.80175,0.03596978,19.59944,0.02545721,1.73449147199e-05,5.75034280639e-07,5.25073796942e-05,1.23130781226e-06,1.73449147199e-05,5.75034280639e-07,5.25073796942e-05,1.23130781226e-06,3.595
