idno,parentID,objID,run,rowc,camcol,htmid,parent_ra,ra,parent_dec,dec,separation,mjd_g,psfMag_g,psfMagErr_g,mjd_r,psfMag_r,psfMagErr_r,flags,calMag_g,calMagErr_g,calMag_r,calMagErr_r,Flux_g,FluxErr_g,Flux_r,FluxErr_r,calFlux_g,calFluxErr_g,calFlux_r,calFluxErr_r,ZSPEC
39,8647475121985880238,8658181667973103646,2650,498.6347,5,17073612140583,16.431341986,16.431341986,0.667745965713,0.667745965713,0.0262308386215,52196.3663385,17.74084,0.01869485,52196.3630212,17.4588,0.01999504,PEAKS_TOO_CLOSE STATIONARY TOO_FEW_DETECTIONS NODEBLEND_MOVING M,17.7590005225,0.01869485,17.4529991501,0.01999504,0.000290863818106,5.00827839565e-06,0.00037714266816,6.94552031453e-06,0.000286039146212,4.92520454639e-06,0.000379163056345,6.98272791166e-06,1.074
39,8647475121985880238,8658181719532765241,2662,967.0574,5,17073612140583,16.4313558395,16.4313558395,0.667746901267,0.667746901267,0.0742897303782,52197.3606133,17.71585,0.03345976,52197.3572961,17.47948,0.02423944,BINNED1 MANYPETRO,17.6959970642,0.03345976,17.4460016141,0.02423944,0.000297636182335,9.1724483307e-06,0.000370027197716,8.26100934223e-06,0.00030312860333,9.34171104152e-06,0.00038161464859,8.51970253467e-06,1.074
39,8647475121985880238,8658181783937155175,2677,1213.875,5,17073612140583,16.4313476731,16.4313476731,0.66773981505,0.66773981505,0.0438017919642,52207.3329039,17.78401,0.01580961,52207.329587,17.48467,0.01559271,STATIONARY MOVED BINNED1 CHILD,17.7630031183,0.01580961,17.4789940814,0.01559271,0.000279525643109,4.07023682472e-06,0.000368262621971,5.28878775544e-06,0.000284986593751,4.14975454553e-06,0.000370192840012,5.31650834372e-06,1.074
39,8647475121985880238,8658181917089857600,2708,938.8408,5,17073612140583,16.4313469417,16.4313469417,0.667744093558,0.667744093558,0.0408805599669,52225.2108506,17.75702,0.02188378,52225.2075335,17.48895,0.0257349,STATIONARY BINNED1,17.7060028949,0.02188378,17.4670034439,0.0257349,0.00028656139595,5.7758623399e-06,0.000366813774759,8.69450830678e-06,0.000300347884142,6.05373805645e-06,0.000374303840228,8.87204273174e-06,1.074
39,8647475121985880238,8658182003009191945,2728,226.6244,5,17073612140583,16.4313473591,16.4313473591,0.66774627408,0.66774627408,0.044303432855,52231.2468494,17.77307,0.0123629,52231.2435322,17.47893,0.01483615,STATIONARY BINNED1 DEBLEND_PRUNED INTERP MANYPETRO NODEBLEND BLE,17.746995293,0.0123629,17.4539965359,0.01483615,0.000282356420223,3.21510282512e-06,0.000370214689925,5.05884934504e-06,0.000289219504183,3.29325016737e-06,0.000378814906215,5.1763675349e-06,1.074
39,8647475121985880238,8658182045926424606,2738,516.4872,5,17073612140583,16.4313301444,16.4313301444,0.667747419366,0.667747419366,0.0275329901679,52234.2178506,17.758,0.01872932,52234.2145331,17.49858,0.02150415,MOVED BINNED1 CHILD,17.737998291,0.01872932,17.4959997083,0.02150415,0.000286302857831,4.93883485683e-06,0.000363574675491,7.20100037357e-06,0.000291626098139,5.0306623336e-06,0.000364439753989,7.21813411598e-06,1.074
39,8647475121985880238,8658184820504854546,3384,432.4816,5,17073612140583,16.4313285648,16.4313285648,0.667741879751,0.667741879751,0.0258658606265,52557.3547885,17.77787,0.01374424,52557.351471,17.47158,0.01722352,STATIONARY BINNED1 INTERP CHILD,17.7609982501,0.01374424,17.4599989301,0.01722352,0.00028111088474,3.55856781065e-06,0.000372729404476,5.912789746e-06,0.000285513323824,3.61429775506e-06,0.000376726435064,5.97619626208e-06,1.074
39,8647475121985880238,8658185048136417332,3437,704.7823,5,17073612140583,16.431343213,16.431343213,0.667741966832,0.667741966832,0.0269051988553,52578.2507917,17.75885,0.01579507,52578.2474743,17.44492,0.02109223,STATIONARY MOVED BINNED1 CHILD,17.7510000092,0.01579507,17.4569995898,0.02109223,0.000286078804486,4.16182726061e-06,0.000381995004817,7.42090705903e-06,0.000288154686105,4.19202668694e-06,0.000377768581351,7.33880197599e-06,1.074
39,8647475121985880238,8658188015944400914,4128,399.0503,5,17073612140583,16.4313406122,16.4313406122,0.667744085308,0.667744085308,0.0187861510755,52908.3293639,17.85038,0.01405142,52908.3260468,17.56002,0.01833672,STATIONARY BINNED1 INTERP COSMIC_RAY CHILD,17.8499972791,0.01405142,17.5599974628,0.01833672,0.000262950243998,3.40306947e-06,0.000343571831814,5.80251512047e-06,0.000263042950315,3.40426925624e-06,0.000343578963613,5.8026355672e-06,1.074
39,8647475121985880238,8658188316607774725,4198,135.7948,5,17073612140583,16.4313461702,16.4313461702,0.667731009897,0.667731009897,0.0550836097808,52934.2613479,17.88064,0.02734779,52934.2580307,17.54739,0.01815188,STATIONARY BINNED1 MANYPETRO,17.8980013434,0.02734779,17.5459941718,0.01815188,0.000255722852204,6.44123100148e-06,0.000347591835198,5.81123212308e-06,0.000251666250814,6.33905266915e-06,0.000348038989871,5.81870785472e-06,1.074
39,8647475121985880238,8658188355263070280,4207,960.2526,5,17073612140583,16.4313446025,16.4313446025,0.667733913378,0.667733913378,0.0436908161684,52936.2570221,17.91276,0.01505637,52936.2537051,17.57681,0.01988482,STATIONARY MOVED BINNED1 CHILD,17.895001333,0.01505637,17.5879979044,0.01988482,0.000248268429205,3.4428568062e-06,0.000338299634424,6.19584170222e-06,0.000252362596714,3.4996321909e-06,0.000334831533365,6.13232504521e-06,1.074
39,8647475121985880238,8658191112637513816,4849,1044.343,5,17073612140581,16.4313396496,16.4313396496,0.667757365315,0.667757365315,0.0563484511679,53270.3210276,17.94732,0.0148737,53270.3177103,17.60839,0.01526927,STATIONARY TOO_FEW_DETECTIONS NODEBLEND_MOVING MOVED BINNED1 DEB,17.8974835437,0.0148737,17.6030221182,0.01526927,0.00024049023515,3.29453213813e-06,0.000328601457442,4.62130856273e-06,0.000251786302284,3.44927849399e-06,0.000330230092022,4.64421281332e-06,1.074
39,8647475121985880238,8658191151285665843,4858,750.564,5,17073612140583,16.4313329435,16.4313329435,0.667742603427,0.667742603427,0.0101766005725,53272.3710876,17.93554,0.02123428,53272.3677708,17.57379,0.014257,STATIONARY BINNED1 MANYPETRO CHILD,17.9197859564,0.02123428,17.6082017813,0.014257,0.000243113717476,4.7547124072e-06,0.000339241935594,4.45466238668e-06,0.000246667029651,4.8242060435e-06,0.000328658427559,4.31568888691e-06,1.074
39,8647475121985880238,8658191194225770504,4868,325.3642,5,17073612140581,16.4313305171,16.4313305171,0.667762368301,0.667762368301,0.0749742173114,53286.3399364,18.03084,0.01941984,53286.3366196,17.90306,0.01304144,STATIONARY BINNED2 BINNED1 DEBLEND_PRUNED INTERP NODEBLEND BLEND,17.9069106787,0.01941984,17.579350863,0.01304144,0.000222684153741,3.98302022479e-06,0.000250496080524,3.0088794666e-06,0.000249609570529,4.46461536223e-06,0.000337508861434,4.05403837361e-06,1.074
39,8647475121985880238,8658191220009533447,4874,178.5558,5,17073612140583,16.4313313939,16.4313313939,0.66773295838,0.66773295838,0.0367961119181,53288.2984732,17.90299,0.02615467,53288.2951561,17.60552,0.01683438,STATIONARY BINNED1,17.8855517676,0.02615467,17.6038752628,0.01683438,0.000250512562782,6.03470316339e-06,0.000329471224017,5.10848137959e-06,0.000254568595334,6.13240998865e-06,0.000329970706419,5.11622584566e-06,1.074
39,8647475121985880238,8658191310178615314,4895,426.7043,5,17073612140583,16.4313277096,16.4313277096,0.667753831978,0.667753831978,0.0508648842516,53294.3460719,17.96484,0.0257208,53294.3427548,17.56165,0.02362562,STATIONARY BINNED1 INTERP MANYPETRO,17.9811675604,0.0257208,17.606282309,0.02362562,0.00023664068876,5.60597594094e-06,0.00034305641774,7.46493179281e-06,0.000233108640337,5.52230298344e-06,0.000329239978521,7.16428708374e-06,1.074
39,8647475121985880238,8658191327352782884,4899,660.4539,5,17073612140582,16.4313154823,16.4313154823,0.667740372314,0.667740372314,0.0732317958538,53296.2929828,17.95399,0.02169941,53296.2896664,17.60052,0.01619883,STATIONARY BINNED1 INTERP,17.957009989,0.02169941,17.6241466785,0.01619883,0.000239017355531,4.77699367709e-06,0.000330991999397,4.93830977439e-06,0.000238353447004,4.7637249206e-06,0.000323867069379,4.83200851925e-06,1.074
39,8647475121985880238,8658191353125994552,4905,1012.002,5,17073612140583,16.4313264959,16.4313264959,0.667747352516,0.667747352516,0.0380911861994,53298.3426712,18.26138,0.02118841,53298.3393544,17.87857,0.01242767,STATIONARY BINNED1 CHILD,17.9264921979,0.02118841,17.6211240619,0.01242767,0.000180083042224,3.51438815978e-06,0.000256210540632,2.9326814868e-06,0.000245148137478,4.78414340892e-06,0.000324769952986,3.71742999238e-06,1.074
