MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1121045008618,14.62,0.06,133.70363,20.10852,53469.18946,0
1121045008618,14.63,0.06,133.70363,20.10849,53469.19759,0
1121045008618,14.62,0.06,133.70364,20.10850,53469.20575,0
1121045008618,14.63,0.06,133.70364,20.10852,53469.21386,0
1121045008618,14.47,0.06,133.70360,20.10851,53481.23159,0
1121045008618,14.49,0.06,133.70361,20.10852,53481.23975,0
1121045008618,14.49,0.06,133.70361,20.10852,53481.24789,0
1121045008618,14.47,0.06,133.70362,20.10850,53481.25601,0
1121045008618,13.94,0.05,133.70363,20.10853,53726.34968,0
1121045008618,13.92,0.05,133.70362,20.10852,53726.35659,0
1121045008618,13.93,0.05,133.70362,20.10851,53726.36351,0
1121045008618,13.93,0.05,133.70363,20.10851,53726.37043,0
1121045008618,13.85,0.05,133.70361,20.10853,53700.49839,0
1121045008618,13.97,0.06,133.70363,20.10850,53700.50637,0
1121045008618,13.85,0.05,133.70363,20.10852,53700.51436,0
1121045008618,13.86,0.05,133.70360,20.10851,53700.52238,0
1121045008618,14.21,0.05,133.70360,20.10846,53655.45663,0
1121045008618,14.20,0.05,133.70360,20.10850,53655.46113,0
1121045008618,14.21,0.05,133.70359,20.10847,53655.46563,0
1121045008618,14.21,0.05,133.70362,20.10849,53655.46999,0
1121045008618,13.78,0.05,133.70362,20.10851,53670.46785,0
1121045008618,13.78,0.05,133.70362,20.10852,53670.47272,0
1121045008618,13.78,0.05,133.70362,20.10849,53670.47760,0
1121045008618,14.47,0.06,133.70362,20.10847,53636.48562,0
1121045008618,14.49,0.06,133.70361,20.10849,53636.49059,0
1121045008618,14.45,0.06,133.70364,20.10851,53636.49553,0
1121045008618,14.46,0.06,133.70362,20.10850,53636.50050,0
1121045008618,15.01,0.06,133.70362,20.10851,53844.14338,0
1121045008618,15.00,0.06,133.70361,20.10850,53844.15093,0
1121045008618,15.03,0.06,133.70361,20.10851,53844.15850,0
1121045008618,15.02,0.06,133.70359,20.10850,53844.16608,0
1121045008618,15.53,0.06,133.70363,20.10851,54081.45178,0
1121045008618,15.53,0.06,133.70361,20.10853,54081.45831,0
1121045008618,15.54,0.06,133.70364,20.10852,54081.46487,0
1121045008618,15.49,0.06,133.70364,20.10852,54081.47151,0
1121045008618,15.51,0.06,133.70361,20.10851,54092.42916,0
1121045008618,15.52,0.06,133.70364,20.10851,54092.43399,0
1121045008618,15.50,0.06,133.70363,20.10848,54092.43883,0
1121045008618,15.54,0.06,133.70362,20.10849,54092.44372,0
1121045008618,14.99,0.06,133.70362,20.10850,53768.32303,0
1121045008618,14.98,0.06,133.70362,20.10853,53768.33045,0
1121045008618,14.98,0.06,133.70362,20.10850,53768.33789,0
1121045008618,14.98,0.06,133.70361,20.10852,53768.34530,0
1121045008618,15.14,0.06,133.70360,20.10850,53788.22051,0
1121045008618,15.14,0.06,133.70362,20.10850,53788.23340,0
1121045008618,15.14,0.06,133.70362,20.10851,53788.24164,0
1121045008618,14.97,0.06,133.70361,20.10848,53788.24994,0
1121045008618,15.01,0.06,133.70363,20.10850,53794.24471,0
1121045008618,15.00,0.06,133.70362,20.10852,53794.25117,0
1121045008618,15.03,0.06,133.70363,20.10852,53794.25766,0
1121045008618,15.00,0.06,133.70362,20.10852,53794.26411,0
1121045008618,14.12,0.05,133.70359,20.10852,53740.32756,0
1121045008618,14.13,0.05,133.70360,20.10852,53740.33458,0
1121045008618,14.13,0.05,133.70362,20.10852,53740.34159,0
1121045008618,14.13,0.05,133.70361,20.10850,53740.34862,0
1121045008618,14.18,0.05,133.70362,20.10852,53745.42472,0
