MasterID	Mag	Magerr	RA	Dec	MJD	Blend
1.10707E+12	16.92	0.08	192.62113	6.60247	53466.26001	0
1.10707E+12	17.02	0.08	192.62111	6.60263	53466.26753	0
1.10707E+12	17.16	0.08	192.62109	6.60292	53466.27507	0
1.10707E+12	16.99	0.08	192.62111	6.60292	53466.28258	0
1.10707E+12	17.14	0.09	192.62116	6.60298	53705.50517	0
1.10707E+12	17.15	0.09	192.62113	6.60286	53705.51189	0
1.10707E+12	17.18	0.09	192.62107	6.60293	53705.51852	0
1.10707E+12	17.09	0.09	192.62115	6.60297	53705.52516	0
1.10707E+12	16.98	0.08	192.62114	6.6027	53714.49896	0
1.10707E+12	17.15	0.09	192.62114	6.60297	53714.50843	0
1.10707E+12	17.2	0.09	192.62111	6.60296	53714.51789	0
1.10707E+12	16.96	0.08	192.62115	6.60255	53714.52732	0
1.10707E+12	17.11	0.09	192.62113	6.60286	53731.48651	0
1.10707E+12	17.12	0.09	192.62117	6.60282	53731.49459	0
1.10707E+12	16.96	0.08	192.6212	6.60299	53731.50266	0
1.10707E+12	17.05	0.08	192.62118	6.60277	53731.51074	0
1.10707E+12	16.9	0.08	192.62107	6.60303	53553.1592	0
1.10707E+12	17.21	0.09	192.62098	6.60298	53553.16564	0
1.10707E+12	17.33	0.09	192.62117	6.60287	53553.17211	0
1.10707E+12	17.23	0.09	192.62116	6.60285	53553.17854	0
1.10707E+12	17.06	0.08	192.62126	6.60266	53528.22609	0
1.10707E+12	17.2	0.09	192.62115	6.60292	53528.23353	0
1.10707E+12	17.1	0.09	192.62117	6.60267	53528.24099	0
1.10707E+12	17.24	0.09	192.62124	6.6029	53528.24856	0
1.10707E+12	17	0.08	192.62119	6.60259	53499.18595	0
1.10707E+12	17.19	0.09	192.62112	6.60294	53499.19129	0
1.10707E+12	17.02	0.08	192.62115	6.60254	53499.19667	0
1.10707E+12	17.1	0.08	192.62116	6.60265	53499.202	0
1.10707E+12	17.07	0.09	192.62117	6.6029	53520.25334	0
1.10707E+12	17	0.08	192.62115	6.60242	53520.25976	0
1.10707E+12	17.1	0.09	192.6212	6.60308	53520.2662	0
1.10707E+12	17.15	0.09	192.6212	6.60274	53520.27264	0
1.10707E+12	16.87	0.09	192.62104	6.60273	53832.28245	0
1.10707E+12	17.09	0.09	192.6212	6.60285	53832.29058	0
1.10707E+12	16.9	0.09	192.62124	6.60284	53832.29867	0
1.10707E+12	17.13	0.09	192.62121	6.60294	53832.30672	0
1.10707E+12	16.9	0.08	192.62105	6.60272	53843.26961	0
1.10707E+12	17.07	0.09	192.62115	6.60268	53843.27771	0
1.10707E+12	16.93	0.08	192.62117	6.60276	53843.2858	0
1.10707E+12	17.08	0.09	192.62116	6.60297	53843.29388	0
1.10707E+12	16.97	0.08	192.62111	6.60297	54085.46228	0
1.10707E+12	16.97	0.08	192.62105	6.60302	54085.47524	0
1.10707E+12	16.86	0.08	192.62106	6.60282	54085.48736	0
1.10707E+12	16.95	0.08	192.62121	6.60287	54085.49881	0
