# time_1               cadence_1   quality_1   x_1                     y_1                      flux_1               error_1              mflags_1   trend_t_1            trend_p_1            time_2               cadence_2   quality_2   x_2                     y_2                      flux_2              error_2              mflags_2   trend_t_2           trend_p_2           
  2306.610484501609    -23520      0           0.013452366925776005    0.15580394864082336      ""                   ""                   33         1401.935227339509    1353.8709560144646   2306.610484501609    -23520      0           0.013452366925776005    0.15580394864082336      838.6911951652056   2.5569405555725098   1          855.2118347871096   874.6321813396302   
  2306.6309166481587   -23519      0           0.024898167699575424    0.15714360773563385      1390.4675973117435   4.21307373046875     0          1402.31503229525     1355.066098664376    2306.6309166481587   -23519      0           0.024898167699575424    0.15714360773563385      838.8866206295679   2.556981325149536    0          855.3180195529288   871.2223557774174   
  2306.6513485942487   -23518      0           0.034679628908634186    0.1583930104970932       1391.98777135599     4.21315336227417     0          1402.693925472711    1356.129799997356    2306.6513485942487   -23518      0           0.034679628908634186    0.1583930104970932       841.8918049230408   2.5565989017486572   0          855.4367067654324   868.1584207948785   
  2306.6717806403394   -23517      0           0.0452503077685833      0.15883398056030273      1387.6623573371153   4.212060451507568    0          1403.0716453402395   1357.5600380940148   2306.6717806403394   -23517      0           0.0452503077685833      0.15883398056030273      837.0076471224392   2.5555198192596436   0          855.5678313201266   865.6198890993796   
  2306.6922127854923   -23516      0           0.052594758570194244    0.15854120254516602      1389.0191227237829   4.2122883796691895   0          1403.4479256202467   1358.7353176226525   2306.6922127854923   -23516      0           0.052594758570194244    0.15854120254516602      837.26028278658     2.555596113204956    0          855.7113073618214   864.3271709482316   
  2306.7126447301853   -23515      0           0.05866469442844391     0.15637296438217163      1395.3976448607539   4.213176727294922    0          1403.8224958753704   1360.1793687852453   2306.7126447301853   -23515      0           0.05866469442844391     0.15637296438217163      839.803416097781    2.555985450744629    0          855.8670270385807   864.8342505774588   
  2306.7330768748798   -23514      0           0.06274669617414474     0.1550867110490799       1399.3912105916188   4.214766025543213    0          1404.1951002553349   1361.1193510181658   2306.7330768748798   -23514      0           0.06274669617414474     0.1550867110490799       842.1444576339973   2.5562705993652344   0          856.0348678518441   864.9356587553228   
  2306.753508818634    -23513      0           0.06607700139284134     0.15165816247463226      1385.0005796875362   4.214823246002197    0          1404.5654704351641   1362.4311156486692   2306.753508818634    -23513      0           0.06607700139284134     0.15165816247463226      832.0036237045912   2.5552220344543457   0          856.2146809000262   866.8033568826405   
  2306.7739408623966   -23512      0           0.06633982062339783     0.14923451840877533      1393.7208830181069   4.216442584991455    0          1404.9333534735727   1363.0161470531275   2306.7739408623966   -23512      0           0.06633982062339783     0.14923451840877533      836.7842529820614   2.555915117263794    0          856.4063030163925   868.539357441929    
  2306.794373005221    -23511      0           0.06875892728567123     0.14877696335315704      1389.074658478428    4.214492321014404    0          1405.298493923045    1363.5071920808339   2306.794373005221    -23511      0           0.06875892728567123     0.14877696335315704      833.1281669254987   2.5554168224334717   0          856.6095485708992   868.2321271432038   
  2306.8148049480515   -23510      0           0.07594767957925797     0.14859069883823395      1394.6834634205063   4.216890811920166    0          1405.660634502283    1364.7232582782676   2306.8148049480515   -23510      0           0.07594767957925797     0.14859069883823395      837.8847353821748   2.5558342933654785   0          856.8242088181851   866.4140356462731   
  2306.835236990417    -23509      0           0.07904161512851715     0.1479666382074356       1388.8193772288912   4.215897560119629    0          1406.0195324214772   1365.3743205741262   2306.835236990417    -23509      0           0.07904161512851715     0.1479666382074356       833.4168853356871   2.5555553436279297   0          857.0500615384506   865.9762234021828   
  2306.8556691323174   -23508      0           0.08261766284704208     0.14610590040683746      1393.5067061876418   4.217857837677002    0          1406.374943739931    1366.3797980703591   2306.8556691323174   -23508      0           0.08261766284704208     0.14610590040683746      835.4759355766171   2.5557186603546143   0          857.2868624339762   866.1717663086959   
  2306.8761010737435   -23507      0           0.09054592251777649     0.146246075630188        1396.0223047539696   4.218601703643799    0          1406.7266239859      1367.697211640875    2306.8761010737435   -23507      0           0.09054592251777649     0.146246075630188        838.137917874887    2.5559756755828857   0          857.5343448600255   863.7142058812517   
  2306.896533114712    -23506      0           0.10032951831817627     0.14752162992954254      1394.9957998602863   4.215178966522217    0          1407.074344051248    1369.1233109223351   2306.896533114712    -23506      0           0.10032951831817627     0.14752162992954254      836.254198113484    2.5548715591430664   0          857.7922313299415   859.9087647586762   
  2306.916965255674    -23505      0           0.11087024211883545     0.14822956919670105      1388.8134112737753   4.218243598937988    0          1407.4178749181074   1370.8488873919869   2306.916965255674    -23505      0           0.11087024211883545     0.14822956919670105      834.156159319558    2.5544838905334473   0          858.0602238014759   856.102885788099    
  2306.937397295711    -23504      0           0.12225797027349472     0.1485096514225006       1394.6935281998988   4.2175445556640625   0          1407.756989915876    1372.8637863274698   2306.937397295711    -23504      0           0.12225797027349472     0.1485096514225006       837.1667916237163   2.5538761615753174   0          858.3380052017775   852.1077460094203   
  2306.957829335748    -23503      0           0.1295785754919052      0.15057338774204254      1390.3041497421568   4.217541217803955    0          1408.0914734572466   1373.7801314391536   2306.957829335748    -23503      0           0.1295785754919052      0.15057338774204254      835.3252152959823   2.553468704223633    0          858.6252471901537   848.4439407003407   
  2306.978261374854    -23502      0           0.1313396692276001      0.14976248145103455      1390.3050433094943   4.217282772064209    0          1408.421114535633    1374.2823604653047   2306.978261374854    -23502      0           0.1313396692276001      0.14976248145103455      835.459119063213    2.5538201332092285   0          858.9216060502105   848.2521424285219   
  2306.9986934139524   -23501      0           0.13545754551887512     0.14984291791915894      1401.9688142010677   4.219787120819092    0          1408.7457087652506   1375.0376476878637   2306.9986934139524   -23501      0           0.13545754551887512     0.14984291791915894      843.2057022671295   2.55456280708313     0          859.2267252696855   846.7284551418492   
  2307.0191254525926   -23500      0           0.13669021427631378     0.14932209253311157      1398.7383998555256   4.21915864944458     0          1409.0650585970027   1375.3796204047787   2307.0191254525926   -23500      0           0.13669021427631378     0.14932209253311157      840.819232397332    2.554128885269165    0          859.5402368241295   846.5415867970464   
  2307.0395574907598   -23499      0           0.1369541883468628      0.1475978046655655       1397.4378571358202   4.22033166885376     0          1409.3789735959442   1375.7903203911676   2307.0395574907598   -23499      0           0.1369541883468628      0.1475978046655655       840.4662587086689   2.554107189178467    0          859.8617626111933   847.2883056947395   
  2307.0599895284686   -23498      0           0.1421961635351181      0.14776518940925598      1393.1446909868869   4.2192487716674805   0          1409.6872706617007   1376.743573263407    2307.0599895284686   -23498      0           0.1421961635351181      0.14776518940925598      837.309033719091    2.5531389713287354   0          860.190915918942    845.2291703453187   
  2307.0804216657125   -23497      0           0.1548018902540207      0.1482686549425125       1389.815672017696    4.221044063568115    0          1409.9897756990579   1379.0397405155531   2307.0804216657125   -23497      0           0.1548018902540207      0.1482686549425125       835.8517854326166   2.5530593395233154   0          860.5273046149473   840.0599908732878   
  2307.100853602489    -23496      0           0.17193245887756348     0.15248256921768188      1400.1655851746632   4.221435070037842    0          1410.286316470746    1381.4906986962728   2307.100853602489    -23496      0           0.17193245887756348     0.15248256921768188      842.199295475861    2.5527775287628174   0          860.8705243940599   831.248716617337    
  2307.121285638794    -23495      0           0.18766601383686066     0.15546998381614685      1395.9550122716303   4.218161106109619    0          1410.5767374178363   1383.9611436209655   2307.121285638794    -23495      0           0.18766601383686066     0.15546998381614685      838.298933149087    2.550719738006592    0          861.2201770000013   823.2863648147321   
  2307.1417177746407   -23494      0           0.193744495511055       0.15550746023654938      1400.2904464007804   4.219488143920898    0          1410.860886510385    1385.1480789539542   2307.1417177746407   -23494      0           0.193744495511055       0.15550746023654938      841.2919719360954   2.5511114597320557   0          861.5758569412533   820.5650264575655   
  2307.162149710479    -23493      0           0.20331913232803345     0.15667694807052612      1392.5942789280143   4.218101978302002    0          1411.138615819768    1386.7944223907748   2307.162149710479    -23493      0           0.20331913232803345     0.15667694807052612      836.5643430359162   2.549941301345825    0          861.9371526275506   815.7494138706661   
  2307.1825818453945   -23492      0           0.21617476642131805     0.16127504408359528      1396.0915009605244   4.216413497924805    0          1411.409795177829    1388.3968706095786   2307.1825818453945   -23492      0           0.21617476642131805     0.16127504408359528      839.3555008276334   2.5492215156555176   0          862.3036655908165   808.063422803183    
