# TIME                 TIMECORR       CADENCENO   SAP_FLUX     SAP_FLUX_ERR   SAP_BKG     SAP_BKG_ERR   PDCSAP_FLUX   PDCSAP_FLUX_ERR   SAP_QUALITY   PSF_CENTR1   PSF_CENTR1_ERR   PSF_CENTR2   PSF_CENTR2_ERR   MOM_CENTR1           MOM_CENTR1_ERR   MOM_CENTR2           MOM_CENTR2_ERR   POS_CORR1      POS_CORR2      
  2144.1027710617273   0.0049904417   99599       1082.7358    2.3056686      786.7117    0.5177214     ""            ""                0             ""           ""               ""           ""               117.41281161869806   0.0032006705     431.4842839800255    0.003221112      0.009500477    0.282818       
  2144.1232033330743   0.004989013    99600       1077.3251    2.305452       786.3968    0.51903886    1597.2876     3.6901176         0             ""           ""               ""           ""               117.42507601138188   0.003218989      431.4816758197357    0.0032383834     0.017109537    0.27301088     
  2144.143635403496    0.0049875835   99601       1077.1466    2.305236       787.32007   0.51815844    1592.9482     3.6930523         0             ""           ""               ""           ""               117.42985383212988   0.0032188718     431.4666356007145    0.0032350556     0.022734368    0.26511607     
  2144.1640676734532   0.0049861534   99602       1079.9402    2.3049827      788.0728    0.51509887    1598.9469     3.6930406         0             ""           ""               ""           ""               117.43921085161573   0.0032439965     431.45775483076847   0.003258098      0.030094022    0.2575295      
  2144.184499842937    0.004984723    99603       1083.4829    2.305316       787.65155   0.5156347     1596.0853     3.6971283         0             ""           ""               ""           ""               117.45252138083688   0.003238083      431.44050876992503   0.003247783      0.04811431     0.24410468     
  2144.2049319119615   0.004983292    99604       1079.0894    2.3046238      787.36096   0.5145417     1583.9545     3.6999354         0             ""           ""               ""           ""               117.46822385775788   0.00325557       431.4280295039342    0.003261595      0.06639211     0.23089091     
  2144.2253641805146   0.0049818605   99605       1073.0541    2.3039486      788.50604   0.51465034    1570.0798     3.7008934         0             ""           ""               ""           ""               117.48315659819532   0.0032716421     431.4159025654371    0.0032742121     0.08915587     0.21631932     
  2144.245796348143    0.004980428    99606       1077.2872    2.3055813      788.3567    0.5198833     1569.7911     3.7078378         0             ""           ""               ""           ""               117.51252679882496   0.003287748      431.39106942211      0.003282367      0.12637664     0.19563232     
  2144.266228515771    0.004978996    99607       1075.8928    2.306128       787.2482    0.51453114    1566.0367     3.710801          0             ""           ""               ""           ""               117.5232079493566    0.0032795556     431.3701941938164    0.003271237      0.14919631     0.18118553     
  2144.286660682934    0.004977563    99608       1069.416     2.306163       788.35315   0.51742405    1555.2539     3.7122474         0             ""           ""               ""           ""               117.5515256143726    0.0033384785     431.3549876385145    0.0033206197     0.179749       0.16667113     
  2144.307092849158    0.004976129    99609       1065.1499    2.3047261      789.7515    0.5135129     1550.6348     3.711351          0             ""           ""               ""           ""               117.57468561016233   0.003363746      431.3379831528175    0.003338269      0.20075594     0.15215085     
